Facility ID,Name,City,Site Address,Work Area,# of Attempts,# of Pos Buys,Most Recent was pos,Had AC,In Appeal,Days Since Last Attempt,Priorty,Can Visit
517,REFUGEE FOOD MART,COLUMBUS,3877 REFUGEE RD,12,3,0,0,0,0,32,1,1
518,RIDERS HUT,COLUMBUS,3322 W BROAD ST,10,1,1,1,0,0,35,15,1
519,RIDI PETROLEUM,COLUMBUS,1401 SULLIVANT AVE,13,1,0,0,0,0,17,10,1
520,ROBERTS ROAD MARATHON,COLUMBUS,4400 ROBERTS RD,5,2,0,0,0,0,16,5,1
521,ROCKY HOC,COLUMBUS,2448 S HIGH ST,12,5,2,0,0,1,2,1,0
522,ROSCO'S MARKET,COLUMBUS,2500 SULLIVANT AVE,10,5,1,0,0,0,15,1,1
523,RP MART,COLUMBUS,1263 E DUBLIN GRANVILLE RD,4,4,0,0,0,0,14,1,1
524,SAHARA SHI-SHA CAFE,COLUMBUS,20 E ARCADIA AVE,6,5,1,0,0,0,30,1,1
525,SALLY'S MARKET,COLUMBUS,740 SULLIVANT AVE,13,5,1,0,0,1,27,1,0
526,SAMO MARKET,COLUMBUS,4420 WALFORD ST,6,4,2,1,1,1,2,6,0
527,SAM'S CARRY OUT,COLUMBUS,860 N CASSADY AVE,11,3,0,0,0,0,4,1,0
528,SAM'S DRIVE THRU,COLUMBUS,2357 SULLIVANT AVE,10,2,0,0,0,0,17,5,1
529,SAM'S FOOD SHOP,COLUMBUS,981 SULLIVANT AVE,13,2,0,0,0,0,6,5,0
530,SANCUS CARRYOUT,WESTERVILLE,8296 SANCUS BLVD,1,0,0,0,0,0,0,20,1
531,SANDALWOOD SUPERMARKET,COLUMBUS,5461 SANDALWOOD BLVD,4,4,1,0,0,1,3,1,0
532,SANTIAGO SUPERMARKET,HILLIARD,5431 ROBERTS RD,5,4,0,0,0,0,35,1,1
533,SAVE WAY MARKET,COLUMBUS,1370 SULLIVANT AVE,13,1,0,0,0,0,1,10,0
534,SAVE WAY MINI MART,COLUMBUS,2585 W BROAD ST,10,4,3,1,1,1,21,6,0
535,SAVOR GROWL,COLUMBUS,2991 INDIANOLA AVE,6,1,0,0,0,0,7,10,0
536,SAVOR PINT,COLUMBUS,4440 INDIANOLA AVE,6,1,0,0,0,0,13,10,0
537,SCIOTO DOWN - SPORTS BAR & PATIO BAR,COLUMBUS,6000 S HIGH ST,12,3,0,0,0,0,29,1,1
538,SCIOTO DOWNS,COLUMBUS,6000 S HIGH ST,12,3,0,0,0,0,29,1,1
539,SCIOTO DOWNS GAMING BUILDING,COLUMBUS,6000 S HIGH ST,12,5,1,0,0,0,16,1,1
540,SCIOTO DOWNS GAMING BUILDING,COLUMBUS,6000 S HIGH ST,12,3,2,0,1,1,10,1,0
541,SHANGRILA MART,BLACKLICK,7199 E BROAD ST,7,4,1,0,0,1,3,1,0
542,SHARON SQUARE WINE SHOP,COLUMBUS,5590 N HIGH ST,6,1,0,0,0,0,31,10,1
